event_id,event,start_date,end_date,year,rank,fname,lname,country,tomoa_skip
1060,"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2018",2018-10-27,2018-10-28,2018,1,aries,susanti rahayu,INA,NA
1060,"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2018",2018-10-27,2018-10-28,2018,2,iuliia,kaplina,RUS,NA
1060,"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2018",2018-10-27,2018-10-28,2018,3,anouck,jaubert,FRA,NA
1060,"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2018",2018-10-27,2018-10-28,2018,4,elena,remizova,RUS,NA
1060,"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2018",2018-10-27,2018-10-28,2018,5,elena,timofeeva,RUS,NA
1060,"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2018",2018-10-27,2018-10-28,2018,6,patrycja,chudziak,POL,NA
1060,"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2018",2018-10-27,2018-10-28,2018,7,mariia,krasavina,RUS,NA
1060,"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2018",2018-10-27,2018-10-28,2018,8,anna,brozek,POL,NA
1060,"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2018",2018-10-27,2018-10-28,2018,9,sari,agustina,INA,NA
1060,"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2018",2018-10-27,2018-10-28,2018,10,puji,lestari,INA,NA
1060,"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2018",2018-10-27,2018-10-28,2018,11,cuilian,he,CHN,NA
1060,"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2018",2018-10-27,2018-10-28,2018,12,yiling,song,CHN,NA
1060,"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2018",2018-10-27,2018-10-28,2018,13,rajiah,sallsabillah,INA,NA
1060,"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2018",2018-10-27,2018-10-28,2018,14,victoire,andrier,FRA,NA
1060,"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2018",2018-10-27,2018-10-28,2018,15,mingwei,ni,CHN,NA
